id,name,overview,synonym,update_by,published_at,created_by,updated_by,created_at,updated_at,belongs_to,related_symptom_w2v,related_symptom_bert
118,Mồ hôi tay,,,Nam,2022-01-14 04:06:54.627+00,1,1,2022-01-14 04:06:52.731+00,2022-01-14 04:06:54.639+00,,"['Mồ hôi tay', 'Tăng tiết mồ hôi', 'Mồ hôi có màu bất thường', 'Vã mồ hôi', 'Mồ hôi trộm', 'Hôi miệng']",['Mồ hôi tay']
158,Tiểu són,,,,2022-01-14 04:59:08.444+00,1,1,2022-01-14 04:59:06.854+00,2022-01-14 04:59:08.456+00,,"['Tiểu són', 'Tiểu buốt']",['Tiểu són']
198,Tê liệt tay chân,,,,2022-01-14 07:11:57.37+00,1,1,2022-01-14 07:11:55.663+00,2022-01-14 07:11:57.383+00,,"['Tê liệt tay chân', 'Tê bì tay chân', 'Chân tay khẳng khiu', 'Đau nhức chân tay', 'Tay và chân ngắn', 'Cảm giác ngứa ran bên trong cổ chân', 'Bại liệt', 'Liệt một nửa người', 'Tê cứng mặt', 'Đau xương cánh tay', 'Chân tay bị teo', 'Liệt vận động', 'Liệt chi trên', 'Liệt chi dưới']","['Tê liệt tay chân', 'Tê bì tay chân']"
199,Loét miệng,,,,2022-01-14 07:15:26.738+00,1,1,2022-01-14 07:15:25.162+00,2022-01-14 07:15:26.752+00,,"['Loét miệng', 'Viêm miệng', 'Bướu miệng', 'Loét vòm hầu họng', 'Ngứa miệng']",['Loét miệng']
244,Tiểu máu,,,,2022-01-14 08:11:17.499+00,2,2,2022-01-14 08:11:15.746+00,2022-01-14 08:11:17.524+00,,"['Tiểu máu', 'Tiểu ra máu', 'Tiểu nhiều lần', 'Chảy máu trong thực quản', 'Máu trong phân', 'Tiểu đêm', 'Tiêu chảy ra máu', 'Đau khi đi tiểu', 'Thiếu máu', 'Tăng bilirubin máu ở trẻ sơ sinh', 'Đi tiểu rát', 'Đi tiểu đau']",['Tiểu máu']
302,Các mảng màu đỏ trên da,,,,2022-01-14 09:57:44.691+00,1,1,2022-01-14 09:57:42.88+00,2022-01-14 09:57:44.701+00,,"['Các mảng màu đỏ trên da', 'Mụn nhỏ trên bề mặt da đầu', 'Đỏ mặt', 'Thay đổi màu sắc da ở dương vật', 'Màu da khác xung quanh', 'Phân toàn nước màu trắng đục', 'Nốt màu đỏ trên bề mặt da', 'Ban đỏ trên da', 'Nước tiểu sẫm màu', 'Tinh dịch màu vàng xanh hoặc màu xanh', 'Tinh dịch có màu nâu', 'Các mảng đỏ hoặc nâu trên da', 'Đỏ quanh giác mạc', 'Nề đỏ xung quanh vết loét', 'Da vùng cổ thâm', 'Khối u trên mặt', 'Màng màu xám dày vùng họng', 'Thay đổi da quanh âm hộ hoặc hậu môn', 'Da tái xanh', 'Mồ hôi có màu bất thường', 'Mắt đỏ', 'Vùng dày bì dưới da', 'Nước tiểu màu vàng', 'Răng bị đổi màu', 'Đốm trên da', 'Phân nhạt màu', 'Thay đổi màu sắc da', 'Mắt bị đỏ', 'Ổ áp xe đỏ', 'Đỏ vùng da quanh khớp', 'Sưng nề vùng da xung quanh', 'Mảng sần trên bề mặt da', 'Mặt đỏ bừng', 'Mảng ngứa trên đầu', 'Các mảng da ngứa', 'Tăng sắc tố da', 'Đỏ da', 'Xương đâm xuyên qua da', 'Đỏ mắt', 'Thay đổi màu sắc dịch âm đạo']","['Các mảng màu đỏ trên da', 'Nốt màu đỏ trên bề mặt da', 'Các mảng đỏ hoặc nâu trên da']"
365,Đau sưng khớp,,,,2022-01-15 04:53:53.64+00,3,3,2022-01-15 04:53:52.106+00,2022-01-15 04:53:53.654+00,,"['Đau sưng khớp', 'Đau khớp', 'Đau khớp háng', 'Đau họng', 'Đau răng', 'Đau buốt', 'Đau xương', 'Đau bìu', 'Đau bụng', 'Sưng mắt', 'Sưng và cứng khớp', 'Đau nướu', 'Đau quặn bụng', 'Bụng sưng', 'Khớp sưng đỏ', 'Khớp đau đột ngột', 'Đau nhức xương']","['Đau sưng khớp', 'Đau vai gáy', 'Đau khớp', 'Đau khớp háng', 'Đau gót chân']"
432,Sổ mũi,,,,2022-01-15 07:56:20.867+00,3,3,2022-01-15 07:56:19.468+00,2022-01-15 07:56:20.88+00,,['Sổ mũi'],['Sổ mũi']
509,Chảy máu trong thực quản,,,,2022-01-16 10:01:03.295+00,2,2,2022-01-16 10:01:01.77+00,2022-01-16 10:01:03.308+00,,"['Chảy dịch ở tai', 'Chảy máu trong thực quản', 'Nước bọt có máu', 'Chảy máu trong quan hệ', 'Chảy máu âm đạo', 'Chảy máu âm đạo trong giai đoạn đầu của thai kỳ', 'Chảy máu âm đạo trong giai đoạn cuối của thai kỳ', 'Máu trong phân', 'Đi ngoài ra phân trộn lẫn với máu và chất nhầy', 'Tinh dịch có máu', 'Nước chảy từng ít một từ âm đạo', 'Máu kinh đóng thành cục lớn', 'Chảy nước ở tai', 'Phân có máu', 'Tiêu chảy ra máu', 'Dịch chảy từ ống tai ngoài', 'Chảy máu quá nhiều', 'Chảy máu cam', 'Tiểu máu', 'Nôn ra máu', 'Rối loạn thần kinh thực vật', 'Đờm có máu', 'Khó khăn trong việc di chuyển', 'Sờ thấy một khối u trong bụng', 'Ho ra máu', 'Khó khăn trong việc suy luận', 'Chảy nước dãi', 'Cảm giác ngứa ran bên trong cổ chân', 'Đầu dương vật rỉ máu', 'Cảm giác kiến bò trong người', 'Tiêu chảy', 'Đau ở vùng chậu trong giai đoạn đầu của thai kỳ', 'Chảy nước mắt', 'Chảy nước mũi', 'Tiêu chảy nhiều lần', 'Phù chi dưới trong giai đoạn cuối của thai kỳ', 'Thiếu máu', 'Buồn nôn trong giai đoạn đầu của thai kỳ', 'Viêm thanh quản', 'Tiêu chảy ở trẻ em', 'Tiểu ra máu', 'Búi trĩ bên trong hoặc ngoài trực tràng', 'Đau trong và xung quanh một khớp', 'Có mủ bên trong ', 'Chảy dịch ở núm vú', 'Tăng bilirubin máu ở trẻ sơ sinh', 'Đại tiện ra máu', 'Hạ oxy máu']",['Chảy máu trong thực quản']
566,Mất phương hướng,,,,2022-01-17 10:26:43.967+00,1,1,2022-01-17 10:26:41.08+00,2022-01-17 10:26:43.981+00,,"['Mất ý thức', 'Mất phương hướng', 'Thay đổi tính cách hoặc hành vi', 'Mất cân bằng', 'Chuyển động không theo ý muốn', 'Mất nhận thức không gian', 'Đi ngoài phân sống', 'Đột nhiên mất sức', 'Mất nước', 'Mất chức năng vùng bị thương', 'Mất thị lực cấp tính', 'Mất thăng bằng', 'Mất trí nhớ', 'Mất vị giác']",['Mất phương hướng']
606,Mất hứng thú,,,,2022-01-18 02:12:00.763+00,1,1,2022-01-18 02:11:58.512+00,2022-01-18 02:12:00.775+00,,"['Mất hứng thú', 'Mất ý thức', 'Giác mạc mất độ bóng', 'Mất trí nhớ', 'Mất nhận thức không gian', 'Mất thính giác đột ngột', 'Da mất cảm giác', 'Mất vị giác', 'Đột nhiên mất sức', 'Mất cảm giác']",['Mất hứng thú']
694,Đốm giác mạc,,,,2022-01-18 03:48:58.433+00,1,1,2022-01-18 03:48:56.969+00,2022-01-18 03:48:58.45+00,,"['Đốm giác mạc', 'Giác mạc mất độ bóng', 'Đục giác mạc', 'Đỏ quanh giác mạc']",['Đốm giác mạc']
714,Trương lực cơ giảm,,,,2022-01-18 04:06:42.65+00,1,1,2022-01-18 04:06:41.231+00,2022-01-18 04:06:42.662+00,,"['Trương lực cơ giảm', 'Thiếu sự phối hợp cơ bắp', 'Suy giảm thị lực', 'Yếu cơ', 'Tăng động thái quá', 'Mất thị lực cấp tính', 'Nổi nốt khắp cơ thể', 'Giảm khả năng phản xạ', 'Nhiệt độ cơ thể thấp', 'Tăng khối lượng cơ bắp', 'Giảm thính lực', 'Giảm vận động', 'Giảm trí nhớ', 'Suy nhược cơ thể', 'Giảm ham muốn tình dục', 'Yếu cơ vùng đầu mặt cổ', 'Thị lực nhìn mờ', 'Thị lực nhìn đôi']",['Trương lực cơ giảm']
695,Đỏ quanh giác mạc,,,,2022-01-18 03:49:24.851+00,1,1,2022-01-18 03:49:22.758+00,2022-01-18 03:49:24.869+00,,"['Đỏ quanh giác mạc', 'Giác mạc mất độ bóng', 'Đục giác mạc', 'Các mảng màu đỏ trên da', 'Đốm giác mạc', 'Nề đỏ xung quanh vết loét', 'Đỏ mặt', 'Giả mạc hai bên thành họng', 'Cảm giác ngứa ran bên trong cổ chân', 'Cảm giác kiến bò trong người', 'Xuất huyết kết mạc mắt', 'Màu da khác xung quanh', 'Mắt bị đỏ', 'Đỏ vùng da quanh khớp', 'Sưng nề vùng da xung quanh', 'Đau trong và xung quanh một khớp', 'Ban đỏ trên da', 'Mặt đỏ bừng', 'Cảm giác dị vật trong mắt']",['Đỏ quanh giác mạc']
719,Nổi nốt khắp cơ thể,,,,2022-01-18 04:10:31.145+00,1,1,2022-01-18 04:10:29.603+00,2022-01-18 04:10:31.163+00,,"['Nổi nốt khắp cơ thể', 'Đi ngoài ra phân trộn lẫn với máu và chất nhầy', 'Nước chảy từng ít một từ âm đạo', 'Có dịch từ âm đạo', 'Đầu lớn bất thường', 'Các vật trôi nổi', 'Yếu cơ vùng đầu mặt cổ', 'Khó nghe được các phụ âm', 'Khó khăn để nghe các lời nói và âm thanh khác', 'Trương lực cơ giảm', 'Dễ nổi giận', 'Nốt thành mụn nước', 'Nhiệt độ cơ thể thấp', 'Nổi hạch', 'Thiếu sự phối hợp cơ bắp', 'Tăng khối lượng cơ bắp', 'Yếu cơ', 'Suy nhược cơ thể', 'Nổi cục ở dây thần kinh ngoại vi', 'Nốt màu đỏ trên bề mặt da', 'Không thể nâng 2 tay qua đầu cùng lúc', 'Dương vật không thể cương cứng']","['Nổi nốt khắp cơ thể', 'Suy nhược cơ thể']"
44,Lồi mắt,"Lồi mắt là sự nhô ra của nhãn cầu. Lồi mắt là thuật ngữ mô tả tình trạng nhô ra trước của nhãn cầu trong bệnh Graves<br>. Rối loạn có thể gây ra những thay đổi về diện mạo của khuôn mặt và mắt tương tự như lồi mắt nhưng không bao gồm cường giáp<br>không có bệnh mắt thâm nhiễm, bệnh Cushing<br>, và bệnh béo phì trầm trọng.<br>DR P. THƯ VIỆN ẢNH MARAZZI / KHOA HỌC",[],,2022-01-12 12:37:20.009+00,1,1,2022-01-12 10:06:17.649+00,2022-01-12 12:37:20.022+00,,"['Lồi mắt', 'Sưng mí mắt', 'Bầm tím quanh mi mắt', 'Lác mắt', 'Mắt trũng', 'Sưng mắt', 'Đau trong hốc mắt', 'Ngứa mắt', 'Mắt lác', 'Mắt ngứa', 'Mờ mắt']",['Lồi mắt']
119,Rối loạn tiêu hóa,,,Nam,2022-01-14 04:07:47.352+00,1,1,2022-01-14 04:07:45.609+00,2022-01-14 04:07:47.365+00,,"['Da dày, nứt nẻ, bong vảy', 'Rối loạn tiêu hóa', 'Vết loét từ mụn cơm, nút ruồi', 'Vết loét có bờ nông, đáy nhẵn', 'Khối u bề mặt mủn nát, dễ chảy máu', 'Chảy máu đường tiêu hóa', 'Đau ngực', 'Da dày, cứng', 'Phù bìu, vú', 'Phát ban, ngứa', 'Giật tóc khỏi da đầu, giật lông mày, lông mi', 'Mất cảm giác ở bàn tay, bàn chân', 'Xuất huyết ở mặt tay, chân', 'Cáu gắt, giận dữ']",['Rối loạn tiêu hóa']
200,Giảm thèm ăn,,,,2022-01-14 07:16:17.217+00,1,1,2022-01-14 07:16:15.662+00,2022-01-14 07:16:17.231+00,,"['Giảm thèm ăn', 'Ăn không ngon', 'Ăn nhiều', 'Chán ăn', 'Bỏ ăn']",['Giảm thèm ăn']
159,Tiểu gấp,"Tình trạng tiểu gấp, thường có cảm giác bất chợt muốn đi tiểu, không nhịn tiểu được và cần phải đi tiểu ngay.",,,2022-01-14 04:59:17.7+00,1,1,2022-01-14 04:59:16.008+00,2022-01-14 04:59:41.631+00,,"['Tiểu gấp', 'Tiểu nhiều lần', 'Tiểu khó', 'Tiểu tiện ít']",['Tiểu gấp']
201,Giảm cân,,,,2022-01-14 07:16:26.059+00,1,1,2022-01-14 07:16:24.491+00,2022-01-14 07:16:26.073+00,,"['Giảm cân', 'Tăng cân', 'Sụt cân', 'Nhẹ cân', 'Sút cân', 'Mất cân bằng', 'Suy giảm thị lực', 'Giảm trí nhớ']",['Giảm cân']
245,Đau vùng hạ sườn trái,,,,2022-01-14 08:12:55.26+00,1,1,2022-01-14 08:12:53.532+00,2022-01-14 08:12:55.27+00,,"['Đau vùng hạ sườn trái', 'Đau vùng bên trái bụng', 'Đau ở vùng hạ sườn phải', 'Đau ở hạ vị', 'Đau bụng vùng thượng vị', 'Đau ở vùng bụng', 'Đau vùng mạn sườn dưới', 'Hạ huyết áp tư thế đứng', 'Đau bụng vùng gan', 'Đau phía sau xương ức', 'Đau khi quan hệ', 'Đau cột sống cổ - cột sống thắt lưng', 'Nóng rát vùng thượng vị', 'Đau dữ dội vùng thượng vị', 'Đau ở vùng chậu trong giai đoạn đầu của thai kỳ', 'Đau khi đi tiểu', 'Đau ở vùng chậu', 'Đau bụng cấp tính', 'Đau khi đi lại', 'Đau nhói vùng mông', 'Yếu cơ vùng đầu mặt cổ', 'Sưng nề vùng da xung quanh', 'Sưng ở vùng chậu', 'Đau trong và xung quanh một khớp', 'Đau cơ', 'Đau vùng xương chậu', 'Đau ở nhiều khớp', 'Đau vùng thắt lưng', 'Đau dai dẳng vùng thượng vị', 'Sưng đau vùng chấn thương', 'Đau xương cánh tay', 'Mất chức năng vùng bị thương', 'Đau bụng tái phát', 'Đau phía sau đầu và cổ', 'Hạ huyết áp', 'Khối u ở bìu không đau', 'Ngứa ở vùng háng', 'Đau khi giao hợp', 'Đau nhức toàn thân', 'Đi tiểu đau', 'Đau hạ vị']","['Đau vùng hạ sườn trái', 'Đau vùng bên trái bụng', 'Đau ở vùng hạ sườn phải', 'Đau bụng vùng thượng vị', 'Đau nhói vùng mông', 'Đau vùng xương chậu', 'Đau vùng mạn sườn dưới', 'Đau vùng thắt lưng']"
